Municipality,ref: ISTAT,Waste type,Quantity,category
Comano Terme,4022228,Organic Fraction (t),"404,495",1
Commezzadura,4022064,Organic Fraction (t),"152,540",1
Condino,4022066,Organic Fraction (t),"160,968",1
Croviana,4022068,Organic Fraction (t),"71,548",1
Cunevo,4022069,Organic Fraction (t),"62,996",1
Daiano,4022070,Organic Fraction (t),"115,080",1
Dambel,4022071,Organic Fraction (t),"42,410",1
Dare,4022073,Organic Fraction (t),"33,513",1
Denno,4022074,Organic Fraction (t),"124,753",1
Dimaro,4022075,Organic Fraction (t),"401,603",1
Don,4022076,Organic Fraction (t),"33,833",1
Drena,4022078,Organic Fraction (t),"64,207",1
Dro,4022079,Organic Fraction (t),"555,048",1
Faedo,4022080,Organic Fraction (t),"49,970",1
Fai della Paganella,4022081,Organic Fraction (t),"310,792",1
Faver,4022082,Organic Fraction (t),"79,311",1
Fiave,4022083,Organic Fraction (t),"126,817",1
Fiera di Primiero,4022084,Organic Fraction (t),"55,904",1
Fierozzo,4022085,Organic Fraction (t),"54,011",1
Flavon,4022086,Organic Fraction (t),"54,419",1
Folgaria,4022087,Organic Fraction (t),"588,590",1
Fondo,4022088,Organic Fraction (t),"167,354",1
Fornace,4022089,Organic Fraction (t),"140,636",1
Frassilongo,4022090,Organic Fraction (t),"48,520",1
Garniga Terme,4022091,Organic Fraction (t),"37,705",1
Giovo,4022092,Organic Fraction (t),"159,673",1
Giustino,4022093,Organic Fraction (t),"125,966",1
Grauno,4022094,Organic Fraction (t),"12,280",1
Grigno,4022095,Organic Fraction (t),"83,108",1
Grumes,4022096,Organic Fraction (t),"24,555",1
Imer,4022097,Organic Fraction (t),"103,523",1
Isera,4022098,Organic Fraction (t),"293,904",1
Ivano-Fracena,4022099,Organic Fraction (t),"28,182",1
Lardaro,4022100,Organic Fraction (t),"27,342",1
Lasino,4022101,Organic Fraction (t),"209,380",1
Lavarone,4022102,Organic Fraction (t),"188,727",1
Lavis,4022103,Organic Fraction (t),"1.157,231",1
Ledro,4022229,Organic Fraction (t),"843,273",1
Levico Terme,4022104,Organic Fraction (t),"1.022,994",1
Lisignago,4022105,Organic Fraction (t),"40,332",1
Livo,4022106,Organic Fraction (t),"83,391",1
Lona-Lases,4022108,Organic Fraction (t),"73,974",1
Luserna,4022109,Organic Fraction (t),"34,822",1
Male,4022110,Organic Fraction (t),"235,880",1
Malosco,4022111,Organic Fraction (t),"64,997",1
Massimeno,4022112,Organic Fraction (t),"14,788",1
Mazzin,4022113,Organic Fraction (t),"104,349",1
Mezzana,4022114,Organic Fraction (t),"324,084",1
Mezzano,4022115,Organic Fraction (t),"146,706",1
Mezzocorona,4022116,Organic Fraction (t),"615,225",1
Mezzolombardo,4022117,Organic Fraction (t),"1.038,672",1
Moena,4022118,Organic Fraction (t),"610,031",1
Molveno,4022120,Organic Fraction (t),"460,521",1
Monclassico,4022121,Organic Fraction (t),"99,861",1
Montagne,4022122,Organic Fraction (t),"27,023",1
Mori,4022123,Organic Fraction (t),"1.044,131",1
Nago-Torbole,4022124,Organic Fraction (t),"536,797",1
Nanno,4022125,Organic Fraction (t),"56,992",1
Nave San Rocco,4022126,Organic Fraction (t),"151,218",1
Nogaredo,4022127,Organic Fraction (t),"242,058",1
Nomi,4022128,Organic Fraction (t),"148,188",1
Novaledo,4022129,Organic Fraction (t),"33,287",1
Ospedaletto,4022130,Organic Fraction (t),"31,453",1
Ossana,4022131,Organic Fraction (t),"123,756",1
Padergnone,4022132,Organic Fraction (t),"85,223",1
Palu del Fersina,4022133,Organic Fraction (t),"21,016",1
Panchia ,4022134,Organic Fraction (t),"147,378",1
Peio,4022136,Organic Fraction (t),"200,996",1
Pellizzano,4022137,Organic Fraction (t),"118,119",1
Pelugo,4022138,Organic Fraction (t),"45,216",1
Pergine Valsugana,4022139,Organic Fraction (t),"3.961,396",1
Pieve di Bono,4022140,Organic Fraction (t),"138,839",1
Pieve Tesino,4022142,Organic Fraction (t),"41,717",1
Pinzolo,4022143,Organic Fraction (t),"857,928",1
Pomarolo,4022144,Organic Fraction (t),"214,453",1
Pozza di Fassa,4022145,Organic Fraction (t),"423,923",1
Predaia,4022230,Organic Fraction (t),"712,873",1
Predazzo,4022147,Organic Fraction (t),"856,723",1
