Municipality,ref: ISTAT,Waste type,Quantity,category
Calliano,4022035,Textiles (t),9.43,6
Campodenno,4022037,Textiles (t),2.144,6
Canal San Bovo,4022038,Textiles (t),1.514,6
Canazei,4022039,Textiles (t),4.15,6
Capriana,4022040,Textiles (t),1.377,6
Carano,4022041,Textiles (t),4.3,6
Carisolo,4022042,Textiles (t),2.687,6
Carzano,4022043,Textiles (t),0.576,6
Castel Condino,4022045,Textiles (t),0.319,6
Castelfondo,4022046,Textiles (t),0.989,6
Castello Tesino,4022048,Textiles (t),1.687,6
Castello-Molina di Fiemme,4022047,Textiles (t),5.793,6
Castelnuovo,4022049,Textiles (t),1.16,6
Cavalese,4022050,Textiles (t),12.169,6
Cavareno,4022051,Textiles (t),1.944,6
Cavedago,4022052,Textiles (t),0.92,6
Cavedine,4022053,Textiles (t),3.5,6
Cavizzana,4022054,Textiles (t),0.532,6
Cembra,4022055,Textiles (t),2.788,6
Centa San Nicolo,4022056,Textiles (t),0.578,6
Cimego,4022057,Textiles (t),0.548,6
Cimone,4022058,Textiles (t),1.622,6
Cinte Tesino,4022059,Textiles (t),0.465,6
Cis,4022060,Textiles (t),0.453,6
Civezzano,4022061,Textiles (t),5.834,6
Cles,4022062,Textiles (t),9.99,6
Cloz,4022063,Textiles (t),1.033,6
Comano Terme,4022228,Textiles (t),4.905,6
Commezzadura,4022064,Textiles (t),3.455,6
Condino,4022066,Textiles (t),1.952,6
Croviana,4022068,Textiles (t),2.135,6
Cunevo,4022069,Textiles (t),0.937,6
Daiano,4022070,Textiles (t),1.722,6
Dambel,4022071,Textiles (t),0.63,6
Dare,4022073,Textiles (t),0.406,6
Denno,4022074,Textiles (t),1.855,6
Dimaro,4022075,Textiles (t),4.08,6
Don,4022076,Textiles (t),0.503,6
Drena,4022078,Textiles (t),0.272,6
Dro,4022079,Textiles (t),2.348,6
Faedo,4022080,Textiles (t),1.463,6
Fai della Paganella,4022081,Textiles (t),1.695,6
Faver,4022082,Textiles (t),4.003,6
Fiave,4022083,Textiles (t),1.538,6
Fiera di Primiero,4022084,Textiles (t),0.595,6
Fierozzo,4022085,Textiles (t),0.331,6
Flavon,4022086,Textiles (t),0.809,6
Folgaria,4022087,Textiles (t),9.006,6
Fondo,4022088,Textiles (t),2.488,6
Fornace,4022089,Textiles (t),1.946,6
Frassilongo,4022090,Textiles (t),0.264,6
Garniga Terme,4022091,Textiles (t),0.978,6
Giovo,4022092,Textiles (t),13.906,6
Giustino,4022093,Textiles (t),1.527,6
Grauno,4022094,Textiles (t),0.163,6
Grigno,4022095,Textiles (t),2.487,6
Grumes,4022096,Textiles (t),0.402,6
Imer,4022097,Textiles (t),1.101,6
Isera,4022098,Textiles (t),2.368,6
Ivano-Fracena,4022099,Textiles (t),0.369,6
Lardaro,4022100,Textiles (t),0.332,6
Lasino,4022101,Textiles (t),0.73,6
Lavarone,4022102,Textiles (t),3.49,6
Lavis,4022103,Textiles (t),12.678,6
Ledro,4022229,Textiles (t),3.567,6
Levico Terme,4022104,Textiles (t),4.802,6
Lisignago,4022105,Textiles (t),0.829,6
Livo,4022106,Textiles (t),1.24,6
Lona-Lases,4022108,Textiles (t),2.725,6
Luserna,4022109,Textiles (t),1.41,6
Male,4022110,Textiles (t),6.684,6
Malosco,4022111,Textiles (t),0.966,6
Massimeno,4022112,Textiles (t),0.179,6
Mazzin,4022113,Textiles (t),2.422,6
Mezzana,4022114,Textiles (t),1.515,6
Mezzano,4022115,Textiles (t),1.56,6
Mezzocorona,4022116,Textiles (t),12.42,6
Mezzolombardo,4022117,Textiles (t),14.231,6
Moena,4022118,Textiles (t),7.723,6
Molveno,4022120,Textiles (t),1.872,6
Monclassico,4022121,Textiles (t),1.942,6
Montagne,4022122,Textiles (t),0.328,6
Mori,4022123,Textiles (t),8.719,6
Nago-Torbole,4022124,Textiles (t),2.27,6
Nanno,4022125,Textiles (t),0.847,6
Nave San Rocco,4022126,Textiles (t),6.39,6
Nogaredo,4022127,Textiles (t),2.614,6
Nomi,4022128,Textiles (t),8.288,6
Novaledo,4022129,Textiles (t),1.19,6
Ospedaletto,4022130,Textiles (t),0.91,6
Ossana,4022131,Textiles (t),4.141,6
Padergnone,4022132,Textiles (t),2.19,6
Palu del Fersina,4022133,Textiles (t),0.13,6
Panchia ,4022134,Textiles (t),2.206,6
Peio,4022136,Textiles (t),3.517,6
Pellizzano,4022137,Textiles (t),2.946,6
Pelugo,4022138,Textiles (t),0.548,6
Pergine Valsugana,4022139,Textiles (t),33.004,6
Pieve di Bono,4022140,Textiles (t),1.684,6
Pieve Tesino,4022142,Textiles (t),0.972,6
Pinzolo,4022143,Textiles (t),10.403,6
Pomarolo,4022144,Textiles (t),2.33,6
Pozza di Fassa,4022145,Textiles (t),3.252,6
Predaia,4022230,Textiles (t),10.598,6
Predazzo,4022147,Textiles (t),12.823,6
Preore,4022148,Textiles (t),0.541,6
Prezzo,4022149,Textiles (t),0.248,6
Rabbi,4022150,Textiles (t),4.371,6
Ragoli,4022151,Textiles (t),1.988,6
Revo,4022152,Textiles (t),1.778,6
Riva del Garda,4022153,Textiles (t),9.832,6
Romallo,4022154,Textiles (t),0.897,6
Romeno,4022155,Textiles (t),2.315,6
Roncegno Terme,4022156,Textiles (t),3.5,6
Ronchi Valsugana,4022157,Textiles (t),0.483,6
Roncone,4022158,Textiles (t),2.189,6
Ronzo-Chienis,4022135,Textiles (t),3.91,6
Ronzone,4022159,Textiles (t),1.16,6
Rovere della Luna,4022160,Textiles (t),5.32,6
Rovereto,4022161,Textiles (t),38.676,6
Ruffre-Mendola,4022162,Textiles (t),0.89,6
Rumo,4022163,Textiles (t),1.345,6
Sagron Mis,4022164,Textiles (t),0.211,6
Samone,4022165,Textiles (t),0.612,6
San Lorenzo Dorsino,4022231,Textiles (t),2.541,6
San Michele all\'Adige,4022167,Textiles (t),11.39,6
Sant\'Orsola Terme,4022168,Textiles (t),0.74,6
Sanzeno,4022169,Textiles (t),1.364,6
Sarnonico,4022170,Textiles (t),1.367,6
Scurelle,4022171,Textiles (t),1.603,6
Segonzano,4022172,Textiles (t),3.923,6
Sfruz,4022173,Textiles (t),0.674,6
Siror,4022174,Textiles (t),2.473,6
Sover,4022177,Textiles (t),2.007,6
Spera,4022178,Textiles (t),0.652,6
Spiazzo,4022179,Textiles (t),2.354,6
Spormaggiore,4022180,Textiles (t),0.98,6
Sporminore,4022181,Textiles (t),1.005,6
Stenico,4022182,Textiles (t),1.952,6
Storo,4022183,Textiles (t),6.085,6
Strembo,4022184,Textiles (t),1.115,6
Strigno,4022185,Textiles (t),1.612,6
Tassullo,4022187,Textiles (t),2.668,6
Telve,4022188,Textiles (t),2.268,6
Telve di Sopra,4022189,Textiles (t),0.652,6
Tenna,4022190,Textiles (t),0.518,6
Tenno,4022191,Textiles (t),1.047,6
Terlago,4022192,Textiles (t),4.367,6
Terragnolo,4022193,Textiles (t),1.656,6
Terres,4022194,Textiles (t),0.47,6
Terzolas,4022195,Textiles (t),2.023,6
Tesero,4022196,Textiles (t),8.115,6
Tione di Trento,4022199,Textiles (t),4.767,6
Ton,4022200,Textiles (t),1.91,6
Tonadico,4022201,Textiles (t),1.903,6
Torcegno,4022202,Textiles (t),0.785,6
Trambileno,4022203,Textiles (t),6.14,6
Transacqua,4022204,Textiles (t),2.415,6
Trento,4022205,Textiles (t),291.375,6
Tuenno,4022207,Textiles (t),3.487,6
Valda,4022208,Textiles (t),0.146,6
Valdaone,4022232,Textiles (t),1.69,6
Valfloriana,4022209,Textiles (t),1.139,6
Vallarsa,4022210,Textiles (t),6.24,6
Varena,4022211,Textiles (t),2.482,6
Vattaro,4022212,Textiles (t),1.072,6
Vermiglio,4022213,Textiles (t),5.694,6
Vezzano,4022215,Textiles (t),3.933,6
Vignola-Falesina,4022216,Textiles (t),0.337,6
Vigo di Fassa,4022217,Textiles (t),2.168,6
Vigo Rendena,4022220,Textiles (t),0.761,6
Vigolo Vattaro,4022219,Textiles (t),1.967,6
Villa Agnedo,4022221,Textiles (t),1.08,6
Villa Lagarina,4022222,Textiles (t),7.767,6
Villa Rendena,4022223,Textiles (t),1.377,6
Volano,4022224,Textiles (t),4.28,6
Zambana,4022225,Textiles (t),6.115,6
Ziano di Fiemme,4022226,Textiles (t),4.954,6
Zuclo,4022227,Textiles (t),0.493,6
Ala,4022001,Textiles (t),41.349,6
Albiano,4022002,Textiles (t),3.69,6
Aldeno,4022003,Textiles (t),7.61,6
Altavalle,4022235,Textiles (t),4.428,6
Altopiano Della Vigolana,4022236,Textiles (t),5.795,6
Amblar-Don,4022237,Textiles (t),1.035,6
Andalo,4022005,Textiles (t),9.88,6
Arco,4022006,Textiles (t),12.537,6
Avio,4022007,Textiles (t),16.19,6
Baselga di Pine,4022009,Textiles (t),9.034,6
Bedollo,4022011,Textiles (t),2.496,6
Besenello,4022013,Textiles (t),5.094,6
Bieno,4022015,Textiles (t),0.185,6
Bleggio Superiore,4022017,Textiles (t),4.857,6
Bocenago,4022018,Textiles (t),1.39,6
Bondone,4022021,Textiles (t),1.973,6
Borgo Chiese,4022238,Textiles (t),5.517,6
Borgo Lares,4022239,Textiles (t),2.044,6
Borgo Valsugana,4022022,Textiles (t),2.829,6
Brentonico,4022025,Textiles (t),18.18,6
Bresimo,4022026,Textiles (t),0.421,6
Brez,4022027,Textiles (t),1.323,6
Caderzone Terme,4022029,Textiles (t),2.925,6
Cagno,4022030,Textiles (t),0.567,6
Calceranica al Lago,4022032,Textiles (t),1.634,6
Caldes,4022033,Textiles (t),1.517,6
Caldonazzo,4022034,Textiles (t),3.186,6
Calliano,4022035,Textiles (t),8.356,6
Campitello di Fassa,4022036,Textiles (t),0.47,6
Campodenno,4022037,Textiles (t),2.481,6
Canal San Bovo,4022038,Textiles (t),0.507,6
Canazei,4022039,Textiles (t),4.757,6
Capriana,4022040,Textiles (t),1.362,6
Carano,4022041,Textiles (t),4.279,6
Carisolo,4022042,Textiles (t),5.688,6
Carzano,4022043,Textiles (t),0.206,6
Castel Condino,4022045,Textiles (t),0.665,6
Castel Ivano,4022240,Textiles (t),1.348,6
Castelfondo,4022046,Textiles (t),1.116,6
Castello Tesino,4022048,Textiles (t),0.605,6
Castello-Molina di Fiemme,4022047,Textiles (t),5.726,6
Castelnuovo,4022049,Textiles (t),0.425,6
Cavalese,4022050,Textiles (t),12.179,6
Cavareno,4022051,Textiles (t),2.268,6
Cavedago,4022052,Textiles (t),1.655,6
Cavedine,4022053,Textiles (t),7.514,6
Cavizzana,4022054,Textiles (t),0.32,6
Cembra Lisignago,4022241,Textiles (t),6.12,6
Cimone,4022058,Textiles (t),1.797,6
Cinte Tesino,4022059,Textiles (t),0.163,6
Cis,4022060,Textiles (t),0.507,6
Civezzano,4022061,Textiles (t),6.826,6
Cles,4022062,Textiles (t),11.42,6
Cloz,4022063,Textiles (t),1.173,6
Comano Terme,4022228,Textiles (t),10.417,6
Commezzadura,4022064,Textiles (t),1.981,6
Conta\',4022242,Textiles (t),2.452,6
Croviana,4022068,Textiles (t),1.576,6
Daiano,4022070,Textiles (t),1.739,6
Dambel,4022071,Textiles (t),0.72,6
Denno,4022074,Textiles (t),2.111,6
Dimaro Folgarida,4022233,Textiles (t),3.389,6
Drena,4022078,Textiles (t),0.28,6
Dro,4022079,Textiles (t),0.58,6
Faedo,4022080,Textiles (t),1.692,6
Fai della Paganella,4022081,Textiles (t),3.817,6
Fiave,4022083,Textiles (t),3.227,6
Fierozzo,4022085,Textiles (t),0.317,6
Folgaria,4022087,Textiles (t),10.59,6
Fondo,4022088,Textiles (t),2.798,6
Fornace,4022089,Textiles (t),2.3,6
Frassilongo,4022090,Textiles (t),0.273,6
Garniga Terme,4022091,Textiles (t),1.081,6
Giovo,4022092,Textiles (t),6.421,6
Giustino,4022093,Textiles (t),3.194,6
Grigno,4022095,Textiles (t),0.891,6
Imer,4022097,Textiles (t),0.376,6
Isera,4022098,Textiles (t),2.608,6
Lavarone,4022102,Textiles (t),2.14,6
Lavis,4022103,Textiles (t),22.533,6
Ledro,4022229,Textiles (t),2.77,6
Levico Terme,4022104,Textiles (t),6.309,6
Livo,4022106,Textiles (t),1.383,6
Lona-Lases,4022108,Textiles (t),2.228,6
Luserna,4022109,Textiles (t),0.999,6
Madruzzo,4022243,Textiles (t),7.329,6
Male,4022110,Textiles (t),2.207,6
Malosco,4022111,Textiles (t),1.056,6
Massimeno,4022112,Textiles (t),0.379,6
Mazzin,4022113,Textiles (t),1.846,6
Mezzana,4022114,Textiles (t),0.98,6
Mezzano,4022115,Textiles (t),0.529,6
Mezzocorona,4022116,Textiles (t),13.902,6
Mezzolombardo,4022117,Textiles (t),17.805,6
Moena,4022118,Textiles (t),8.27,6
Molveno,4022120,Textiles (t),6.258,6
Mori,4022123,Textiles (t),9.745,6
Nago-Torbole,4022124,Textiles (t),1.655,6
Nave San Rocco,4022126,Textiles (t),3.487,6
Nogaredo,4022127,Textiles (t),2.451,6
Nomi,4022128,Textiles (t),6.833,6
Novaledo,4022129,Textiles (t),0.442,6
Ospedaletto,4022130,Textiles (t),0.328,6
Ossana,4022131,Textiles (t),2.589,6
Palu del Fersina,4022133,Textiles (t),0.123,6
Panchia ,4022134,Textiles (t),2.203,6
Peio,4022136,Textiles (t),2.554,6
Pellizzano,4022137,Textiles (t),2.157,6
Pelugo,4022138,Textiles (t),1.183,6
Pergine Valsugana,4022139,Textiles (t),39.551,6
Pieve Di Bono-Prezzo,4022234,Textiles (t),4.045,6
Pieve Tesino,4022142,Textiles (t),0.338,6
Pinzolo,4022143,Textiles (t),22.123,6
Pomarolo,4022144,Textiles (t),2.641,6
Porte Di Rendena,4022244,Textiles (t),5.168,6
Pozza di Fassa,4022145,Textiles (t),2.988,6
Predaia,4022230,Textiles (t),12.166,6
Predazzo,4022147,Textiles (t),12.837,6
Primiero San Martino Di Castrozza,4022245,Textiles (t),2.499,6
Rabbi,4022150,Textiles (t),3.657,6
Revo,4022152,Textiles (t),2.072,6
Riva del Garda,4022153,Textiles (t),8.482,6
Romallo,4022154,Textiles (t),1.025,6
Romeno,4022155,Textiles (t),2.673,6
Roncegno Terme,4022156,Textiles (t),1.271,6
Ronchi Valsugana,4022157,Textiles (t),0.178,6
Ronzo-Chienis,4022135,Textiles (t),5.005,6
Ronzone,4022159,Textiles (t),1.319,6
Rovere della Luna,4022160,Textiles (t),4.063,6
Rovereto,4022161,Textiles (t),47.482,6
Ruffre-Mendola,4022162,Textiles (t),0.999,6
Rumo,4022163,Textiles (t),1.557,6
Sagron Mis,4022164,Textiles (t),0.069,6
Samone,4022165,Textiles (t),0.223,6
San Lorenzo Dorsino,4022231,Textiles (t),5.429,6
San Michele all\'Adige,4022167,Textiles (t),7.81,6
Sant\'Orsola Terme,4022168,Textiles (t),0.707,6
Sanzeno,4022169,Textiles (t),1.557,6
Sarnonico,4022170,Textiles (t),1.641,6
Scurelle,4022171,Textiles (t),0.586,6
Segonzano,4022172,Textiles (t),3.977,6
Sella Giudicarie,4022246,Textiles (t),9.3,6
Sfruz,4022173,Textiles (t),0.772,6
Sover,4022177,Textiles (t),2.228,6
Spiazzo,4022179,Textiles (t),4.955,6
Spormaggiore,4022180,Textiles (t),3.424,6
Sporminore,4022181,Textiles (t),1.172,6
Stenico,4022182,Textiles (t),4.162,6
Storo,4022183,Textiles (t),12.848,6
Strembo,4022184,Textiles (t),2.358,6
Telve,4022188,Textiles (t),0.833,6
Telve di Sopra,4022189,Textiles (t),0.236,6
Tenna,4022190,Textiles (t),0.671,6
Tenno,4022191,Textiles (t),1.526,6
Terragnolo,4022193,Textiles (t),2.035,6
Terzolas,4022195,Textiles (t),1.182,6
Tesero,4022196,Textiles (t),8.082,6
Tione di Trento,4022199,Textiles (t),10.065,6
Ton,4022200,Textiles (t),2.168,6
Torcegno,4022202,Textiles (t),0.293,6
Trambileno,4022203,Textiles (t),5.27,6
Tre Ville,4022247,Textiles (t),6.07,6
Trento,4022205,Textiles (t),308.16,6
Valdaone,4022232,Textiles (t),3.502,6
Valfloriana,4022209,Textiles (t),1.08,6
Vallarsa,4022210,Textiles (t),5.84,6
Vallelaghi,4022248,Textiles (t),13.041,6
Varena,4022211,Textiles (t),2.433,6
Vermiglio,4022213,Textiles (t),3.992,6
Vignola-Falesina,4022216,Textiles (t),0.408,6
Vigo di Fassa,4022217,Textiles (t),1.992,6
Villa d\'Anaunia,4022249,Textiles (t),8.048,6
Villa Lagarina,4022222,Textiles (t),5.956,6
Volano,4022224,Textiles (t),4.66,6
Zambana,4022225,Textiles (t),4.413,6
Ziano di Fiemme,4022226,Textiles (t),4.96,6
Ala,4022001,Textiles (t),39.119,6
Albiano,4022002,Textiles (t),2.821,6
Aldeno,4022003,Textiles (t),5.819,6
Altavalle,4022235,Textiles (t),3.386,6
Altopiano Della Vigolana,4022236,Textiles (t),15.31,6
Amblar-Don,4022237,Textiles (t),1.441,6
Andalo,4022005,Textiles (t),7.555,6
Arco,4022006,Textiles (t),9.396,6
Avio,4022007,Textiles (t),20.33,6
Baselga di Pine,4022009,Textiles (t),13.809,6
Bedollo,4022011,Textiles (t),3.811,6
Besenello,4022013,Textiles (t),4.534,6
Bieno,4022015,Textiles (t),0.197,6
Bleggio Superiore,4022017,Textiles (t),3.783,6
Bocenago,4022018,Textiles (t),1.083,6
Bondone,4022021,Textiles (t),1.537,6
Borgo Chiese,4022238,Textiles (t),4.296,6
Borgo Lares,4022239,Textiles (t),1.592,6
Borgo Valsugana,4022022,Textiles (t),3.007,6
Brentonico,4022025,Textiles (t),14.93,6
Bresimo,4022026,Textiles (t),0.586,6
Brez,4022027,Textiles (t),1.841,6
Caderzone Terme,4022029,Textiles (t),2.278,6
Cagno,4022030,Textiles (t),0.789,6
Calceranica al Lago,4022032,Textiles (t),7.645,6
Caldes,4022033,Textiles (t),2.42,6
Caldonazzo,4022034,Textiles (t),14.645,6
Calliano,4022035,Textiles (t),10.226,6
Campodenno,4022037,Textiles (t),3.454,6
Canal San Bovo,4022038,Textiles (t),0.906,6
Canazei,4022039,Textiles (t),6.47,6
Capriana,4022040,Textiles (t),1.376,6
Carano,4022041,Textiles (t),4.32,6
Carisolo,4022042,Textiles (t),4.43,6
Carzano,4022043,Textiles (t),0.219,6
Castel Condino,4022045,Textiles (t),0.518,6
Castel Ivano,4022240,Textiles (t),1.434,6
Castelfondo,4022046,Textiles (t),1.554,6
Castello Tesino,4022048,Textiles (t),0.643,6
Castello-Molina di Fiemme,4022047,Textiles (t),5.781,6
Castelnuovo,4022049,Textiles (t),0.452,6
Cavalese,4022050,Textiles (t),12.297,6
Cavareno,4022051,Textiles (t),3.158,6
Cavedago,4022052,Textiles (t),1.265,6
Cavedine,4022053,Textiles (t),5.746,6
Cavizzana,4022054,Textiles (t),0.561,6
Cembra Lisignago,4022241,Textiles (t),4.68,6
Cimone,4022058,Textiles (t),1.374,6
Cinte Tesino,4022059,Textiles (t),0.173,6
Cis,4022060,Textiles (t),0.706,6
Civezzano,4022061,Textiles (t),11.472,6
Cles,4022062,Textiles (t),15.897,6
Cloz,4022063,Textiles (t),1.633,6
Comano Terme,4022228,Textiles (t),8.113,6
Commezzadura,4022064,Textiles (t),2.981,6
Conta\',4022242,Textiles (t),3.413,6
Croviana,4022068,Textiles (t),2.298,6
Daiano,4022070,Textiles (t),1.756,6
Dambel,4022071,Textiles (t),1.002,6
Denno,4022074,Textiles (t),2.938,6
Dimaro Folgarida,4022233,Textiles (t),5.547,6
Dro,4022079,Textiles (t),0.16,6
Faedo,4022080,Textiles (t),1.294,6
Fai della Paganella,4022081,Textiles (t),2.919,6
Fiave,4022083,Textiles (t),2.513,6
Fierozzo,4022085,Textiles (t),1.052,6
Folgaria,4022087,Textiles (t),10.575,6
Fondo,4022088,Textiles (t),3.895,6
Fornace,4022089,Textiles (t),3.863,6
Frassilongo,4022090,Textiles (t),0.856,6
Garniga Terme,4022091,Textiles (t),0.827,6
Giovo,4022092,Textiles (t),4.909,6
Giustino,4022093,Textiles (t),2.488,6
Grigno,4022095,Textiles (t),0.947,6
Imer,4022097,Textiles (t),0.511,6
Isera,4022098,Textiles (t),2.856,6
Lavarone,4022102,Textiles (t),3.0,6
Lavis,4022103,Textiles (t),17.233,6
Ledro,4022229,Textiles (t),4.272,6
Levico Terme,4022104,Textiles (t),16.994,6
Livo,4022106,Textiles (t),1.925,6
Lona-Lases,4022108,Textiles (t),1.703,6
Luserna,4022109,Textiles (t),1.525,6
Madruzzo,4022243,Textiles (t),5.604,6
Male,4022110,Textiles (t),4.413,6
Malosco,4022111,Textiles (t),1.47,6
Massimeno,4022112,Textiles (t),0.295,6
Mazzin,4022113,Textiles (t),1.899,6
Mezzana,4022114,Textiles (t),1.864,6
Mezzano,4022115,Textiles (t),0.689,6
Mezzocorona,4022116,Textiles (t),10.631,6
Mezzolombardo,4022117,Textiles (t),13.614,6
Moena,4022118,Textiles (t),8.42,6
Molveno,4022120,Textiles (t),4.785,6
Mori,4022123,Textiles (t),7.755,6
Nago-Torbole,4022124,Textiles (t),1.96,6
Nave San Rocco,4022126,Textiles (t),2.666,6
Nogaredo,4022127,Textiles (t),2.139,6
Nomi,4022128,Textiles (t),7.951,6
Novaledo,4022129,Textiles (t),0.47,6
Ospedaletto,4022130,Textiles (t),0.349,6
Ossana,4022131,Textiles (t),3.318,6
Palu del Fersina,4022133,Textiles (t),0.395,6
Panchia ,4022134,Textiles (t),2.224,6
Peio,4022136,Textiles (t),2.419,6
Pellizzano,4022137,Textiles (t),2.778,6
Pelugo,4022138,Textiles (t),0.921,6
Pergine Valsugana,4022139,Textiles (t),100.682,6
Pieve Di Bono-Prezzo,4022234,Textiles (t),3.15,6
Pieve Tesino,4022142,Textiles (t),0.359,6
Pinzolo,4022143,Textiles (t),17.228,6
Pomarolo,4022144,Textiles (t),2.637,6
Porte Di Rendena,4022244,Textiles (t),4.025,6
Pozza di Fassa,4022145,Textiles (t),3.618,6
Predaia,4022230,Textiles (t),16.934,6
Predazzo,4022147,Textiles (t),12.961,6
Primiero San Martino Di Castrozza,4022245,Textiles (t),5.182,6
Rabbi,4022150,Textiles (t),5.098,6
Revo,4022152,Textiles (t),2.884,6
Riva del Garda,4022153,Textiles (t),4.931,6
Romallo,4022154,Textiles (t),1.427,6
Romeno,4022155,Textiles (t),3.721,6
Roncegno Terme,4022156,Textiles (t),1.351,6
Ronchi Valsugana,4022157,Textiles (t),0.19,6
Ronzo-Chienis,4022135,Textiles (t),5.89,6
Ronzone,4022159,Textiles (t),1.837,6
Rovere della Luna,4022160,Textiles (t),3.106,6
Rovereto,4022161,Textiles (t),65.114,6
Ruffre-Mendola,4022162,Textiles (t),1.391,6
Rumo,4022163,Textiles (t),2.167,6
Sagron Mis,4022164,Textiles (t),0.108,6
Samone,4022165,Textiles (t),0.237,6
San Lorenzo Dorsino,4022231,Textiles (t),4.228,6
San Michele all\'Adige,4022167,Textiles (t),5.972,6
Sant\'Orsola Terme,4022168,Textiles (t),2.367,6
Sanzeno,4022169,Textiles (t),2.167,6
Sarnonico,4022170,Textiles (t),2.285,6
Scurelle,4022171,Textiles (t),0.623,6
Segonzano,4022172,Textiles (t),3.041,6
Sella Giudicarie,4022246,Textiles (t),7.242,6
Sfruz,4022173,Textiles (t),1.074,6
Soraga,4022176,Textiles (t),0.45,6
Sover,4022177,Textiles (t),1.703,6
Spiazzo,4022179,Textiles (t),3.859,6
Spormaggiore,4022180,Textiles (t),2.618,6
Sporminore,4022181,Textiles (t),1.631,6
Stenico,4022182,Textiles (t),3.241,6
Storo,4022183,Textiles (t),10.006,6
Strembo,4022184,Textiles (t),1.836,6
Telve,4022188,Textiles (t),0.886,6
Telve di Sopra,4022189,Textiles (t),0.251,6
Tenna,4022190,Textiles (t),1.801,6
Tenno,4022191,Textiles (t),1.001,6
Terragnolo,4022193,Textiles (t),1.815,6
Terzolas,4022195,Textiles (t),1.858,6
Tesero,4022196,Textiles (t),8.16,6
Tione di Trento,4022199,Textiles (t),7.839,6
Ton,4022200,Textiles (t),3.017,6
Torcegno,4022202,Textiles (t),0.312,6
Trambileno,4022203,Textiles (t),6.4,6
Tre Ville,4022247,Textiles (t),4.727,6
Trento,4022205,Textiles (t),336.33,6
Valdaone,4022232,Textiles (t),2.728,6
Valfloriana,4022209,Textiles (t),1.091,6
Vallarsa,4022210,Textiles (t),6.62,6
Vallelaghi,4022248,Textiles (t),9.972,6
Varena,4022211,Textiles (t),2.456,6
Vermiglio,4022213,Textiles (t),4.995,6
Vignola-Falesina,4022216,Textiles (t),1.068,6
Vigo di Fassa,4022217,Textiles (t),4.142,6
Villa d\'Anaunia,4022249,Textiles (t),11.203,6
Villa Lagarina,4022222,Textiles (t),6.814,6
Volano,4022224,Textiles (t),6.04,6
Zambana,4022225,Textiles (t),3.374,6
Ziano di Fiemme,4022226,Textiles (t),5.008,6
Ala,4022001,Textiles (t),32.28,6
Albiano,4022002,Textiles (t),5.947,6
Aldeno,4022003,Textiles (t),12.712,6
Altavalle,4022235,Textiles (t),7.038,6
Altopiano Della Vigolana,4022236,Textiles (t),19.005,6
Amblar-Don,4022237,Textiles (t),1.678,6
Andalo,4022005,Textiles (t),16.767,6
Arco,4022006,Textiles (t),5.621,6
Avio,4022007,Textiles (t),14.77,6
Baselga di Pine,4022009,Textiles (t),22.489,6
Bedollo,4022011,Textiles (t),6.191,6
Besenello,4022013,Textiles (t),4.334,6
Bieno,4022015,Textiles (t),0.125,6
Bleggio Superiore,4022017,Textiles (t),2.526,6
Bocenago,4022018,Textiles (t),0.798,6
Bondone,4022021,Textiles (t),1.039,6
Borgo Chiese,4022238,Textiles (t),2.952,6
Borgo Lares,4022239,Textiles (t),1.054,6
Borgo Valsugana,4022022,Textiles (t),3.534,6
Brentonico,4022025,Textiles (t),6.5,6
Bresimo,4022026,Textiles (t),0.672,6
Brez,4022027,Textiles (t),2.063,6
Caderzone Terme,4022029,Textiles (t),1.483,6
Cagno,4022030,Textiles (t),0.863,6
Calceranica al Lago,4022032,Textiles (t),8.202,6
Caldes,4022033,Textiles (t),2.003,6
Caldonazzo,4022034,Textiles (t),15.616,6
Calliano,4022035,Textiles (t),10.211,6
Campodenno,4022037,Textiles (t),3.803,6
Canal San Bovo,4022038,Textiles (t),0.494,6
Canazei,4022039,Textiles (t),4.51,6
Capriana,4022040,Textiles (t),1.526,6
Carano,4022041,Textiles (t),4.781,6
Carisolo,4022042,Textiles (t),3.03,6
Carzano,4022043,Textiles (t),0.036,6
Castel Condino,4022045,Textiles (t),0.349,6
Castel Ivano,4022240,Textiles (t),0.757,6
Castelfondo,4022046,Textiles (t),1.727,6
Castello Tesino,4022048,Textiles (t),0.321,6
Castello-Molina di Fiemme,4022047,Textiles (t),6.641,6
Castelnuovo,4022049,Textiles (t),0.277,6
Cavalese,4022050,Textiles (t),14.022,6
Cavareno,4022051,Textiles (t),3.581,6
Cavedago,4022052,Textiles (t),2.747,6
Cavedine,4022053,Textiles (t),12.147,6
Cavizzana,4022054,Textiles (t),0.463,6
Cembra Lisignago,4022241,Textiles (t),9.689,6
Cimone,4022058,Textiles (t),2.823,6
Cinte Tesino,4022059,Textiles (t),0.058,6
Cis,4022060,Textiles (t),0.81,6
Civezzano,4022061,Textiles (t),14.677,6
Cles,4022062,Textiles (t),18.058,6
Cloz,4022063,Textiles (t),1.747,6
Comano Terme,4022228,Textiles (t),5.497,6
Commezzadura,4022064,Textiles (t),1.721,6
Conta\',4022242,Textiles (t),3.81,6
Croviana,4022068,Textiles (t),1.236,6
Daiano,4022070,Textiles (t),2.029,6
Dambel,4022071,Textiles (t),1.121,6
Denno,4022074,Textiles (t),3.148,6
Dimaro Folgarida,4022233,Textiles (t),2.781,6
Drena,4022078,Textiles (t),0.172,6
