id,name,latitude,longitude,memorial_type,type,inscription
monument_id_6604430824,Unnamed,45.9270165,10.8914006,,monument,
memorial_id_6611503195,Unnamed,46.3273616,10.7061037,plaque,memorial:plaque,Questa la casa avita di Giacomo Matteotti propugnò i diritti dei lavoratori affrontando consapevole il martirio oggi nel mondo intero simbolo di giustizia sociale e di libertà
memorial_id_6620387292,Lon ai suoi caduti,46.0844752,10.9932699,war_memorial,memorial:war_memorial,
memorial_id_6634749766,Sito Ritrovamento Alpino,46.4011465,11.7919329,,memorial,
memorial_id_6704376050,Unnamed,46.2813322,10.580416,stone,memorial:stone,AI CADUTI DELL'ALBIOLO E DELLA CADI'
memorial_id_6724217636,Unnamed,46.0064892,11.1635562,war_memorial,memorial:war_memorial,A RICORDO / DEI SOLDATI / DEL 61° REGGIMENTO FANTERIA BRIGATA SICILIA / CHE QUI CADDERO COMBATTENDO / IL 25 LUGLIO 1866 / PER LA REDENZIONE DI TRENTO / I TRENTINI FINALMENTE REDENTI / QUESTO CIPPO VOLLERO / CONSACRATO / GIUGNO 1924
monument_id_6726222588,La trincea 2425m,46.3440708,11.7301507,,monument,
monument_id_6738014493,Castel Penede,45.8740886,10.8860791,,castle,
monument_id_6751934834,Unnamed,45.7943952,11.1843284,,monument,
monument_id_6751979044,Unnamed,45.7955799,11.1757536,,monument,
monument_id_6751987676,Unnamed,45.7940249,11.1767313,,monument,
monument_id_6774850960,Busto di Clementino Vannetti,45.8856609,11.0091832,bust,monument:bust,
memorial_id_6812119433,Unnamed,46.2048236,11.0860795,plaque,memorial:plaque,
monument_id_6854160701,Unnamed,46.0074336,11.1294769,,monument,
memorial_id_6919175143,Gianantonio Manci,46.0695481,11.1238772,plaque,memorial:plaque,
memorial_id_6919188295,Giovanni Peterlongo,46.0696406,11.1201547,plaque,memorial:plaque,
memorial_id_7146805203,Unnamed,46.0064952,11.1279591,plaque,memorial:plaque,
memorial_id_7146805204,Unnamed,46.0041359,11.1304091,plaque,memorial:plaque,"IN QUESTA CASA NACQUE GUIDO POLI
MEDAGLIA D'ORO CADUTO PER LA PATRIA
ADDI XX GIUGNO MCMXVII"
memorial_id_7146805207,Unnamed,46.0063534,11.1275202,plaque,memorial:plaque,"AL FANTE D'ITALIA CHE ENTRANDO PRIMO PER QUESTA VIA IL MEZZODÌ 3 NOVEMBRE 1918 FUGÒ LA BARBARIE AUSTRIACA E PORTÒ LA REDENZIONE
- IL PAESE -"
memorial_id_7252839012,Stele,45.7880045,10.9855048,stele,memorial:stele,FC
memorial_id_7347505004,Unnamed,45.8911953,11.0349027,,memorial,
memorial_id_7347567490,Unnamed,45.8910695,11.0351779,,memorial,
memorial_id_7418607483,Erminio Azzolini,45.7572688,11.0205209,stone,memorial:stone,Memoria del comandante dei Vigili del fuoco deceduto in incendio boschivo
memorial_id_7433417716,Statua a Padre Eusebio Chini,46.3064683,11.0754859,statue,memorial:statue,
