id;name;longitude;latitude;geometry;description;historic;amenity;height;website;type
519188456;Unnamed;11.0218164;46.1432257;POINT (11.0218164 46.1432257);;;;;;
519651681;Cima Avèz;10.6536006;45.8328724;POINT (10.6536006 45.8328724);;;;;;peak
519704153;Rocca Pagana;10.591987;45.8577801;POINT (10.591987 45.8577801);;;;;;peak
523276664;Dosso della Croce;10.5267395;45.8709629;POINT (10.5267395 45.8709629);;;;;;peak
523391623;Monte Re di Castello;10.4834601;46.0216799;POINT (10.4834601 46.0216799);;;;;;peak
523391640;Corno della Vecchia;10.4826283;46.0410535;POINT (10.4826283 46.0410535);;;;;;peak
523391928;Pilastro;10.5424086;46.1074384;POINT (10.5424086 46.1074384);;;;;;peak
523392188;Monte Fumo;10.5467919;46.1434326;POINT (10.5467919 46.1434326);;;;;;peak
523392303;Cresta Pisage;10.5512359;46.1248681;POINT (10.5512359 46.1248681);;;;;;peak
525846050;Monte Calvo;11.2604791;46.1007524;POINT (11.2604791 46.1007524);;;;;;peak
526142464;Unnamed;11.822873;46.5156201;POINT (11.822873 46.5156201);;;;;;peak
526182172;l'Antersass;11.8238256;46.5194079;POINT (11.8238256 46.5194079);;;;;;peak
526955992;Col Aut;11.81835;46.5107642;POINT (11.81835 46.5107642);;;;;;peak
526955993;Col Turont;11.8196503;46.5133502;POINT (11.8196503 46.5133502);;;;;;peak
528946015;Unnamed;10.8766802;45.940926;POINT (10.8766802 45.940926);;;;;;
528946079;Unnamed;10.8892046;45.9531069;POINT (10.8892046 45.9531069);;;;;;
528946084;Doss del Clef;10.8889839;45.9529538;POINT (10.8889839 45.9529538);;;;;;peak
528946458;Unnamed;10.8570409;45.933686;POINT (10.8570409 45.933686);;;;;;
529087732;Monte Calva;10.5397388;45.7881723;POINT (10.5397388 45.7881723);;;;;;peak
529691501;Corno di Lago Scuro;10.5704523;46.2231444;POINT (10.5704523 46.2231444);;;;;;peak
529691506;Corno di Casamadre;10.5710899;46.2263231;POINT (10.5710899 46.2263231);;;;;;peak
529691513;Cima Meridionale del Dosson;10.5543659;46.1484936;POINT (10.5543659 46.1484936);;;;;;peak
529691514;Cima Settentrionale del Dosson;10.557337;46.156707;POINT (10.557337 46.156707);;;;;;peak
529691519;Cima Centrale del Dosson;10.555471;46.1541371;POINT (10.555471 46.1541371);;;;;;peak
529691540;Cima Casaiole;10.568896;46.2902796;POINT (10.568896 46.2902796);;;;;;peak
529691598;Monte Giumella;10.5787984;46.3752146;POINT (10.5787984 46.3752146);;;;;;peak
529691649;Punta Taviela;10.6163387;46.3885978;POINT (10.6163387 46.3885978);;;;;;peak
530831149;Monte Cornetto;11.1761914;45.7469759;POINT (11.1761914 45.7469759);;;;;;peak
533993882;Cingolo Rosso;10.5482014;45.7849174;POINT (10.5482014 45.7849174);;;;;;peak
533993912;Monte Lavino;10.663799;45.8318222;POINT (10.663799 45.8318222);;;;;;peak
533994016;Cima del Dil;10.6807808;45.8323698;POINT (10.6807808 45.8323698);;;;;;peak
533994077;Monte Tremalzo;10.6990381;45.8417244;POINT (10.6990381 45.8417244);;;;;;peak
533994097;Cima Tuflungo;10.7228437;45.8413529;POINT (10.7228437 45.8413529);;;;;;peak
533994099;Punta di Mois;10.7822445;45.836504;POINT (10.7822445 45.836504);;;;;;peak
534251275;Punta Penia;11.8513481;46.4345463;POINT (11.8513481 46.4345463);;;;;;peak
534680004;Cima Fracinglo;10.8515919;46.1707924;POINT (10.8515919 46.1707924);;;;;;peak
534680010;Unnamed;10.8592095;46.1609604;POINT (10.8592095 46.1609604);;;;;;peak
534680053;Cima Val Stretta;10.8588018;46.1574084;POINT (10.8588018 46.1574084);;;;;;peak
534680158;Unnamed;10.8524319;46.1616118;POINT (10.8524319 46.1616118);;;;;;peak
534681839;Unnamed;10.8613594;46.1540104;POINT (10.8613594 46.1540104);;;;;;peak
534681876;Cima Pra dei Camosci;10.8367688;46.1621774;POINT (10.8367688 46.1621774);;;;;;peak
534681982;Punta Massari;10.8870917;46.1855384;POINT (10.8870917 46.1855384);;;;;;peak
534682274;Cima Vagliana;10.8933736;46.2362585;POINT (10.8933736 46.2362585);;;;;;peak
534682356;Cima Sassara;10.8908244;46.2508863;POINT (10.8908244 46.2508863);;;;;;peak
534682491;Mondifrà Alto;10.8787535;46.2491612;POINT (10.8787535 46.2491612);;;;;;peak
534683207;Mondifrà Basso;10.8756963;46.2549117;POINT (10.8756963 46.2549117);;;;;;peak
534683618;Cima Falkner;10.9050482;46.1929243;POINT (10.9050482 46.1929243);;;;;;peak
534686158;Cima Nardis;10.8459002;46.1592324;POINT (10.8459002 46.1592324);;;;;;peak
534689307;XII Apostoli;10.8465261;46.1473628;POINT (10.8465261 46.1473628);;;;;;peak
534689393;Cima d'Ambiez;10.8687201;46.151043;POINT (10.8687201 46.151043);;;;;;peak
534689463;Cima Margherita;10.8837502;46.1585347;POINT (10.8837502 46.1585347);;;;;;peak
534690697;Cima di Molveno;10.8993769;46.1724273;POINT (10.8993769 46.1724273);;;;;;peak
534774157;Cima della Gaiarda;10.9309152;46.189213;POINT (10.9309152 46.189213);;;;;;peak
534774177;Cima di Vallazza;10.9199074;46.1862866;POINT (10.9199074 46.1862866);;;;;;peak
534774385;Cima dei Lasteri;10.948253;46.1765554;POINT (10.948253 46.1765554);;;;;;peak
534784248;Campanile Basso;10.8941561;46.1619699;POINT (10.8941561 46.1619699);;;;;;peak
534784314;Campanile Alto;10.8935547;46.1642846;POINT (10.8935547 46.1642846);;;;;;peak
534785516;Cima Brenta Alta;10.8965833;46.1603617;POINT (10.8965833 46.1603617);;;;;;peak
534789871;Cima Grostè;10.9052057;46.1983256;POINT (10.9052057 46.1983256);;;;;;peak
534793726;Campanile dei Camosci;10.9056206;46.1961284;POINT (10.9056206 46.1961284);;;;;;peak
534795784;Torre di Brenta;10.8958201;46.1671402;POINT (10.8958201 46.1671402);;;;;;peak
537141745;Punta Giovanni Paolo II;10.560533;46.1624387;POINT (10.560533 46.1624387);;;;;;peak
540304142;Unnamed;11.2913605;46.0735244;POINT (11.2913605 46.0735244);;;;;;
540307090;Unnamed;11.3021076;46.0749902;POINT (11.3021076 46.0749902);;;;;;
540590402;Unnamed;10.69531;45.9400643;POINT (10.69531 45.9400643);;;;;;
543523594;Piz dele Agole;11.2040838;46.1717248;POINT (11.2040838 46.1717248);;;;;;peak
548728508;Unnamed;11.2781989;46.0697946;POINT (11.2781989 46.0697946);;;;;;
552883079;Cima Castion;11.2335932;46.2181695;POINT (11.2335932 46.2181695);;;;;;peak
552915580;Unnamed;11.2672094;46.1766869;POINT (11.2672094 46.1766869);;;;;;
