id;name;latitude;longitude;geometry;artist_name;description;website;type
5825545319;Unnamed;46.0570537;11.5237682;POINT (11.5237682 46.0570537);;;;sculpture
5825545320;Unnamed;46.0560916;11.5241287;POINT (11.5241287 46.0560916);;;;sculpture
5832499191;Unnamed;46.4180166;11.2047905;POINT (11.2047905 46.4180166);;;;
5836448256;Unnamed;45.8770158;11.1044628;POINT (11.1044628 45.8770158);;;;statue
5859438831;Unnamed;46.0850417;11.4403241;POINT (11.4403241 46.0850417);;;;sculpture
5971388463;orti della val marcia;46.0133584;10.8093997;POINT (10.8093997 46.0133584);;;;mural
5971388464;le streghe;46.0134518;10.8092572;POINT (10.8092572 46.0134518);;;;mural
5971388465;Unnamed;46.0133484;10.8096045;POINT (10.8096045 46.0133484);;;;mural
5971388466;Unnamed;46.0140392;10.8105608;POINT (10.8105608 46.0140392);;;;mural
5971388467;Unnamed;46.0144715;10.8110525;POINT (10.8110525 46.0144715);;;;mural
5971388468;Unnamed;46.0144699;10.8107638;POINT (10.8107638 46.0144699);;;;mural
5971388469;Unnamed;46.0141112;10.8116254;POINT (10.8116254 46.0141112);;;;mural
5971388470;Unnamed;46.0142459;10.8119006;POINT (10.8119006 46.0142459);;;;mural
5971388471;Unnamed;46.0142068;10.8116525;POINT (10.8116525 46.0142068);;;;mural
5971388472;Unnamed;46.0140611;10.8104616;POINT (10.8104616 46.0140611);;;;mural
5971388473;Unnamed;46.0145373;10.8115465;POINT (10.8115465 46.0145373);;;;mural
5971388474;Unnamed;46.0149689;10.8119787;POINT (10.8119787 46.0149689);;;;mural
5971388475;Unnamed;46.0149022;10.8112781;POINT (10.8112781 46.0149022);;;;mural
5971388476;Unnamed;46.0136132;10.8099035;POINT (10.8099035 46.0136132);;;;mural
5971388478;Unnamed;46.0149742;10.8114287;POINT (10.8114287 46.0149742);;;;mural
5971388479;Unnamed;46.0148036;10.8117572;POINT (10.8117572 46.0148036);;;;mural
5971388480;Unnamed;46.0140926;10.8110364;POINT (10.8110364 46.0140926);;;;mural
5971388481;Unnamed;46.0139729;10.8110555;POINT (10.8110555 46.0139729);;;;mural
5971388482;Unnamed;46.0140615;10.8118561;POINT (10.8118561 46.0140615);;;;mural
5971388483;Unnamed;46.0140571;10.8119454;POINT (10.8119454 46.0140571);;;;mural
5971388484;Unnamed;46.0140222;10.812085;POINT (10.812085 46.0140222);;;;mural
6207595624;Unnamed;46.328725;11.6015187;POINT (11.6015187 46.328725);;;;statue
6209994103;Un pediluvio mi farebbe bene;45.9304294;11.1083976;POINT (11.1083976 45.9304294);Simone Carraro;;;installation
6240249360;Unnamed;46.4201751;11.6728229;POINT (11.6728229 46.4201751);;;;statue
6253895304;Esoadro;45.9205863;11.0381113;POINT (11.0381113 45.9205863);ETNIK;;;installation
6255495103;Guerriero contro la PIRUBI;45.9485571;11.1057638;POINT (11.1057638 45.9485571);Florian Grott;;;sculpture
6301161828;Unnamed;45.8846548;10.8395912;POINT (10.8395912 45.8846548);;;;sculpture
6341429097;Unnamed;46.3155903;10.8011806;POINT (10.8011806 46.3155903);;;;sculpture
6521916957;Unnamed;46.0628667;11.1153907;POINT (11.1153907 46.0628667);Paolo Colombini;;;
6521916958;Unnamed;46.0632426;11.11562;POINT (11.11562 46.0632426);;;;
6553075307;San Venceslao di Boemia;45.9214754;10.8895138;POINT (10.8895138 45.9214754);;;;statue
6584150788;Arciduca Alberto;45.9190765;10.8825296;POINT (10.8825296 45.9190765);;;;statue
6606422351;Unnamed;45.9187428;10.8835807;POINT (10.8835807 45.9187428);;;;statue
6837121071;Casa del Folletto Custode;46.3054406;11.4477925;POINT (11.4477925 46.3054406);;;;installation
6837121074;Gallo Cedrone;46.3062992;11.4466447;POINT (11.4466447 46.3062992);;;;installation
6837138412;Mamma Orsa;46.3088186;11.4361288;POINT (11.4361288 46.3088186);;;;installation
6837138416;Il Vecchio Tronco;46.3086855;11.4323491;POINT (11.4323491 46.3086855);;;;installation
6837138421;La Rana;46.3046135;11.4386871;POINT (11.4386871 46.3046135);;;;installation
6837138423;Le Impronte;46.3033784;11.4406286;POINT (11.4406286 46.3033784);;;;installation
6908935098;Unnamed;46.1909434;11.0969987;POINT (11.0969987 46.1909434);;;;installation
6910385503;Unnamed;45.883629;11.0206431;POINT (11.0206431 45.883629);;;;graffiti
7146742830;Unnamed;45.9495573;10.6376629;POINT (10.6376629 45.9495573);;;;sculpture
7146742847;Unnamed;45.9496049;10.6379217;POINT (10.6379217 45.9496049);;;;statue
7146742852;Unnamed;45.9495167;10.6375473;POINT (10.6375473 45.9495167);;;;statue
7146742853;Unnamed;45.949442;10.637483;POINT (10.637483 45.949442);;;;statue
7146805206;Unnamed;46.0060068;11.1273504;POINT (11.1273504 46.0060068);;;;mural
7618253050;Unnamed;45.9228998;10.8201574;POINT (10.8201574 45.9228998);;;;statue
7644430464;Unnamed;45.8683824;11.0758832;POINT (11.0758832 45.8683824);;;;statue
7644430465;Unnamed;45.8683382;11.0758832;POINT (11.0758832 45.8683382);;;;statue
7840358796;Unnamed;46.3878648;11.0361616;POINT (11.0361616 46.3878648);;;;
7856506394;Unnamed;46.3669174;11.0357473;POINT (11.0357473 46.3669174);;;;
7866052840;Strega;46.0139514;10.8126095;POINT (10.8126095 46.0139514);;;;statue
7867804546;Madonnina;46.1233342;11.568888;POINT (11.568888 46.1233342);;;;statue
7904929531;Unnamed;45.8848131;10.842949;POINT (10.842949 45.8848131);;;;statue
7908656939;Unnamed;45.8809023;10.8378238;POINT (10.8378238 45.8809023);;;;statue
7968981737;Unnamed;45.930691;10.8234662;POINT (10.8234662 45.930691);;;;statue
7968981738;Unnamed;45.9305833;10.8236842;POINT (10.8236842 45.9305833);;;;statue
8022041367;Unnamed;45.9164594;10.8817569;POINT (10.8817569 45.9164594);;;;statue
8149439356;Unnamed;46.3686588;11.0138815;POINT (11.0138815 46.3686588);;;;
8290609708;Unnamed;46.2377734;11.0682587;POINT (11.0682587 46.2377734);;Testa d'orso intagliata in un tronco d'albero a bordo strada;;sculpture
8331509545;Le Api;46.3046912;11.4482529;POINT (11.4482529 46.3046912);;;;installation
8331509550;La Tana del Tasso;46.3049461;11.4482919;POINT (11.4482919 46.3049461);;;;installation
8331509551;Il Cannocchiale;46.3038963;11.446344;POINT (11.446344 46.3038963);;;;installation
8331646861;Il Presepio de Varena;46.3050925;11.456656;POINT (11.456656 46.3050925);;;;installation
8481174235;Unnamed;45.852106;10.9773096;POINT (10.9773096 45.852106);;;;statue
8491231317;Unnamed;46.1429884;11.2383518;POINT (11.2383518 46.1429884);;;;statue
8567964515;Madonna;46.4180291;11.2047388;POINT (11.2047388 46.4180291);;;;statue
8670957574;Ca' dei boci;46.1245764;11.1938184;POINT (11.1938184 46.1245764);;;;sculpture
8696340671;Il corcolocio;46.121342;11.1928997;POINT (11.1928997 46.121342);Thomas Feller;;;sculpture
8733371881;Unnamed;46.3683087;11.0321374;POINT (11.0321374 46.3683087);;;;
8829759560;Unnamed;45.8613286;10.7326854;POINT (10.7326854 45.8613286);;;;
8839137553;Unnamed;46.0261805;10.9833164;POINT (10.9833164 46.0261805);;;;sculpture
8871649828;Rave;45.8635217;10.7371931;POINT (10.7371931 45.8635217);Erika Inger;;;sculpture
8871649829;Xennials;45.8634651;10.7366594;POINT (10.7366594 45.8634651);Luca Vallese;;;sculpture
8871649830;Incontri Ravvicinati;45.8633331;10.7362991;POINT (10.7362991 45.8633331);Giulio Valerio Cerbella e Luisa Benevieri;;;sculpture
8871649831;Volti nella Terra;45.8631067;10.7358738;POINT (10.7358738 45.8631067);Micol Grazioli;;;sculpture
8871649832;Trincea;45.8627633;10.7348443;POINT (10.7348443 45.8627633);Roberta Rizzi e Caterina Agazzi;;;sculpture
8897445479;Unnamed;45.853623;10.7983417;POINT (10.7983417 45.853623);;;;mural
9072982152;Unnamed;45.9606419;10.912267;POINT (10.912267 45.9606419);;;;
9104016634;Unnamed;46.2905792;11.6382719;POINT (11.6382719 46.2905792);;;;
9104022377;Unnamed;46.2907401;11.6381555;POINT (11.6381555 46.2907401);;;;
9132602960;Lassù;46.0728773;10.9985408;POINT (10.9985408 46.0728773);Paolo Moro;;;installation
9134769379;Unnamed;45.9618978;10.9110515;POINT (10.9110515 45.9618978);;;;mural
9144606449;Guides de Fassa;46.4765958;11.7414198;POINT (11.7414198 46.4765958);;;;stone
9144797411;Unnamed;46.4761173;11.7401656;POINT (11.7401656 46.4761173);;;;statue
9332205779;Drago Vaia Regeneration;45.9442679;11.2786111;POINT (11.2786111 45.9442679);Marco Martalar;;;installation
9450078038;Per gli alpini non esiste l'impossibile;46.0718963;11.1097199;POINT (11.1097199 46.0718963);;;;mural
9522531931;Unnamed;46.126837;11.096454;POINT (11.096454 46.126837);;;;sculpture
9645741000;Unnamed;45.9342987;11.0942291;POINT (11.0942291 45.9342987);Francesco Verla;Decorazione sottogronda di Francesco Verla, datato 1520.;;mural
9645755546;Stemmi Trapp;45.9415936;11.1115291;POINT (11.1115291 45.9415936);;;;mural
9645780934;Unnamed;45.9339343;11.0943551;POINT (11.0943551 45.9339343);;Parata di stemmi, in capo lo stemma di Massimiliano I d'Asburgo. Affresco datato 1520.;;mural
9645791049;Unnamed;45.9336613;11.0943776;POINT (11.0943776 45.9336613);;;;mural
9645795029;Unnamed;45.9339481;11.094941;POINT (11.094941 45.9339481);;;;mural
9651369581;Ciclo dei Mesi;45.9304369;11.1088074;POINT (11.1088074 45.9304369);;;;mural
