Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2021 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Sluderno;04021094;Comune;86,952;3,092;126,037;3,947;27,468;36,864;9,542;17,989;7,271;12,202;89,634;27,330;45,660;;
Stelvio;04021095;Comune;;5,673;88,327;3,608;7,318;10,352;5,100;9,857;8,283;1,286;92,705;1,592;;;
Terento;04021096;Comune;245,200;31,970;80,580;4,340;69,800;20,780;26,350;10,161;4,156;8,195;42,540;26,580;;;
Terlano;04021097;Comune;428,600;146,180;326,380;29,050;1,700;88,570;142,850;37,476;3,977;14,640;234,110;72,960;;;
Termeno sulla strada del vino;04021098;Comune;518,310;13,180;183,850;3,670;99,680;52,670;70,080;26,033;10,713;11,250;170,910;32,240;;;
Tesimo;04021099;Comune;98,130;27,080;78,521;;50,100;29,600;4,980;8,550;6,648;3,030;75,740;10,800;12,600;;
Tires;04021100;Comune;65,510;40,560;58,990;0,490;;14,630;15,140;6,460;3,489;0,500;48,900;15,030;;;
Tirolo;04021101;Comune;590,840;16,610;185,320;0,620;13,600;40,000;14,600;16,889;17,118;6,300;232,380;38,430;;;
Trodena nel parco naturale;04021102;Comune;173,708;94,570;47,330;4,350;;24,740;25,340;5,065;2,914;2,850;50,150;15,630;8,240;;
Tubre;04021103;Comune;0,013;17,477;36,000;3,150;34,365;17,820;2,837;11,758;3,127;3,300;37,279;14,415;;;
Ultimo;04021104;Comune;99,370;46,308;165,900;;52,500;56,980;9,280;17,447;8,697;11,050;106,640;43,245;;;
Vadena;04021105;Comune;165,070;12,890;107,180;;43,000;21,450;44,100;3,127;5,305;0,400;67,940;3,020;;;
Val di Vizze;04021107;Comune;299,070;28,575;205,120;;36,480;35,810;58,770;22,420;6,101;17,335;111,600;6,860;;;
Valdaora;04021106;Comune;708,180;5,250;225,127;8,761;4,240;38,260;79,247;21,007;16,153;;143,007;47,865;;;
