Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Vallelaghi;04022248;Comune;422,020;;287,044;23,999;119,240;69,312;208,756;36,326;7,139;27,785;212,980;67,550;25,440;;
Vermiglio;04022213;Comune;346,853;;154,937;11,798;73,260;56,042;108,935;18,652;2,629;8,260;138,439;26,655;;;
Vignola-Falesina;04022216;Comune;33,117;;14,428;0,873;4,080;2,278;5,368;1,348;0,513;0,761;9,611;2,835;6,506;;
Villa d\'Anaunia;04022249;Comune;507,998;;335,258;14,790;225,626;90,411;146,398;46,460;16,637;14,934;191,831;70,590;;;
Villa Lagarina;04022222;Comune;406,832;37,675;199,453;5,247;110,782;46,040;152,157;23,596;8,317;11,193;158,330;58,335;;;
Ville di Fiemme;04022254;Comune;541,869;;255,840;107,383;72,346;35,330;103,538;26,928;7,988;8,413;153,803;39,176;74,293;;
Volano;04022224;Comune;469,060;37,935;159,319;14,205;108,300;41,559;106,381;24,059;6,992;7,770;125,800;46,560;5,920;;
Ziano di Fiemme;04022226;Comune;346,105;;163,411;68,588;46,209;22,567;66,132;17,200;5,102;5,373;98,238;25,023;47,453;;


			



