Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Segonzano;04022172;Comune;192,581;;118,660;8,226;41,472;21,879;71,142;11,153;1,993;6,300;66,785;21,705;;;
Sella Giudicarie;04022246;Comune;305,257;;198,303;133,705;78,910;36,965;82,779;26,488;6,757;4,885;149,380;44,175;;;
Sen Jan di Fassa-San Giovanni di Fassa;04022250;Comune;870,194;;418,248;17,630;146,000;148,179;203,269;29,930;10,185;7,290;450,888;;;;
Sfruz;04022173;Comune;51,806;;31,718;4,446;19,942;8,898;14,377;4,493;1,583;1,296;18,322;5,550;;;
Soraga;04022176;Comune;124,474;;92,096;;32,240;13,790;19,898;1,310;1,542;0,880;173,294;;;;
Sover;04022177;Comune;107,262;;66,090;4,581;23,099;12,186;39,624;6,211;1,111;3,509;37,197;12,285;;;
Spiazzo;04022179;Comune;162,893;;105,820;71,349;42,108;19,726;44,173;14,135;3,606;2,607;79,714;18,960;;;
Spormaggiore;04022180;Comune;167,819;;103,402;7,168;36,140;19,066;61,994;9,719;1,740;5,490;58,198;19,080;;;
Sporminore;04022181;Comune;73,078;;44,742;6,272;28,130;12,552;20,281;6,339;2,233;1,829;25,846;10,605;;;
Stenico;04022182;Comune;136,805;;88,872;59,922;35,364;16,566;37,098;11,872;3,028;2,189;66,947;17,610;;;
Storo;04022183;Comune;413,912;;268,887;181,296;106,997;50,123;112,245;35,917;9,162;6,624;202,553;68,700;;;
Strembo;04022184;Comune;78,444;;50,959;34,360;20,278;9,499;21,272;6,806;1,735;1,255;38,387;8,475;;;
Telve;04022188;Comune;131,652;;101,623;6,315;35,163;24,798;50,290;13,395;5,136;0,365;60,180;26,838;;;
Telve di Sopra;04022189;Comune;28,703;;31,093;1,944;12,768;10,997;13,886;4,758;1,913;0,118;13,251;8,985;;;
Tenna;04022190;Comune;194,970;;78,404;5,051;23,088;13,723;26,540;7,391;2,616;4,067;41,511;14,835;;;
Tenno;04022191;Comune;280,032;;137,620;9,329;55,823;20,675;90,144;13,183;1,882;0,640;78,591;30,240;;;
Terragnolo;04022193;Comune;44,954;11,526;24,922;2,171;0,153;2,556;18,126;3,396;0,505;1,650;36,720;;;;
Terzolas;04022195;Comune;71,100;;27,258;1,842;9,195;10,534;12,765;3,746;1,513;1,536;22,505;9,555;;;
Tesero;04022196;Comune;659,352;;282,416;19,665;72,379;37,810;102,041;31,052;10,016;9,406;144,782;;;;
Tione di Trento;04022199;Comune;334,214;;217,113;146,388;86,395;40,472;90,632;29,001;7,398;5,348;163,551;54,900;;;
Ton;04022200;Comune;134,045;;82,069;11,504;51,599;23,025;37,201;11,627;4,098;3,354;47,406;19,575;;;
Torcegno;04022202;Comune;41,550;;31,878;2,149;11,477;10,744;16,644;4,243;1,740;0,117;29,090;10,200;;;
Trambileno;04022203;Comune;108,993;21,288;66,106;5,992;0,401;7,256;52,606;5,538;1,002;7,690;43,930;;;;
