Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Terlago;04022192;Comune;198,177;;117,487;6,216;31,531;30,619;59,424;12,959;;2,619;67,872;;;;
Terragnolo;04022193;Comune;34,350;;27,518;1,502;0,775;2,573;12,413;0,954;;0,908;29,342;;;;
Terres;04022194;Comune;30,860;;21,705;2,904;9,977;4,555;9,142;2,647;;0,320;9,843;;;;
Terzolas;04022195;Comune;63,222;;31,651;3,184;8,950;11,358;11,450;6,030;;2,152;26,005;;;;
Tesero;04022196;Comune;558,768;;289,187;14,395;49,398;49,203;165,385;23,534;;6,641;104,868;;;;
Tione di Trento;04022199;Comune;607,226;;418,940;18,783;112,044;66,707;168,906;39,812;;20,870;336,428;;;;
Ton;04022200;Comune;125,856;;88,521;11,844;40,689;18,576;37,284;10,795;;1,303;40,146;;;;
Tonadico;04022201;Comune;172,075;;159,570;7,945;93,686;30,353;96,682;11,756;;1,219;58,224;;;;
Torcegno;04022202;Comune;38,846;;34,442;3,584;10,487;7,336;7,638;5,473;;0,263;29,298;;;;
Trambileno;04022203;Comune;94,394;;67,496;2,114;1,919;6,424;31,468;2,598;;5,460;66,105;;;;
Transacqua;04022204;Comune;224,993;;208,642;10,387;122,496;39,688;126,415;15,370;;1,594;76,130;;;;
Trento;04022205;Comune;16.229,960;;9.935,876;331,731;2.269,243;870,228;2.519,245;819,454;;296,890;5.605,053;;;;
Tres;04022206;Comune;77,428;;54,459;7,287;25,033;11,428;22,937;6,641;;0,802;24,698;;;;
Tuenno;04022207;Comune;228,289;;160,567;21,482;73,805;33,696;67,629;19,580;;2,364;72,819;;;;
Valda;04022208;Comune;11,062;;8,405;1,117;1,780;3,231;4,965;1,578;;0,226;5,946;;;;
Valfloriana;04022209;Comune;86,030;;44,525;2,214;7,605;7,576;25,464;3,623;;1,022;16,146;;;;
Vallarsa;04022210;Comune;39,891;;69,660;4,396;2,710;5,930;25,871;4,577;;5,440;68,738;;;;
Varena;04022211;Comune;181,288;;93,825;4,671;16,027;15,963;53,658;7,636;;2,155;34,024;;;;
Vattaro;04022212;Comune;167,040;;85,069;4,599;21,196;13,537;22,728;8,317;;1,159;57,459;;;;
