Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2017 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Soraga;04022176;Comune;105,318;;92,163;11,758;23,750;20,718;126,651;0,450;0,942;0,450;;;;;
Sover;04022177;Comune;107,718;;65,856;4,400;22,827;12,570;39,167;6,638;1,449;1,703;35,128;12,360;;;
Spiazzo;04022179;Comune;160,422;;118,504;10,633;35,544;22,462;74,154;13,294;2,658;3,859;73,934;18,900;;;
Spormaggiore;04022180;Comune;165,571;;101,227;6,764;35,087;19,320;60,203;10,204;2,227;2,618;53,995;18,975;;;
Sporminore;04022181;Comune;73,545;;45,795;6,299;26,456;11,606;20,519;6,129;2,021;1,631;24,556;10,605;;;
Stenico;04022182;Comune;134,744;;99,536;8,931;29,855;18,866;62,284;11,166;2,233;3,241;62,099;17,790;;;
Storo;04022183;Comune;415,966;;307,276;27,571;92,165;58,242;192,279;34,472;6,894;10,006;191,707;68,940;;;
Strembo;04022184;Comune;76,328;;56,384;5,059;16,912;10,687;35,284;6,326;1,266;1,836;35,178;8,430;;;
Telve;04022188;Comune;127,385;;96,125;7,199;36,055;25,034;45,369;14,244;5,801;0,886;48,495;30,120;;;
Telve di Sopra;04022189;Comune;27,576;;28,425;1,963;13,241;11,200;12,201;5,858;2,255;0,251;8,277;8,925;;;
Tenna;04022190;Comune;117,534;;73,934;4,077;18,609;11,335;17,554;5,684;1,548;1,801;39,088;8,938;;;
Tenno;04022191;Comune;213,827;;107,500;16,116;51,766;30,304;148,176;14,011;2,946;1,001;20,345;29,940;;;
Terragnolo;04022193;Comune;45,360;;24,710;2,744;0,531;4,061;20,921;6,429;0,486;1,815;30,160;;;;
Terzolas;04022195;Comune;89,066;;27,314;2,125;7,879;11,767;13,961;4,827;1,906;1,858;21,372;6,945;;;
Tesero;04022196;Comune;547,211;;291,790;29,476;50,519;54,422;244,943;25,409;9,366;8,160;25,748;;;;
Tione di Trento;04022199;Comune;325,873;;240,723;21,599;72,203;45,627;150,633;27,005;5,400;7,839;150,186;54,525;;;
Ton;04022200;Comune;136,072;;84,729;11,655;48,948;21,475;37,965;11,337;3,740;3,017;45,434;19,740;;;
Torcegno;04022202;Comune;38,996;;29,286;2,396;11,311;10,158;14,387;4,927;1,988;0,312;20,854;10,365;;;
Trambileno;04022203;Comune;103,093;;65,999;6,511;0,819;8,941;51,451;10,777;0,558;6,400;46,650;;;;
Tre Ville;04022247;Comune;196,512;;145,165;13,025;43,541;27,515;90,836;16,286;3,256;4,727;90,567;21,270;;;
Trento;04022205;Comune;16.616,358;;9.436,014;483,132;2.158,730;1.138,941;4.051,782;731,740;180,683;336,330;4.477,360;1.769,955;;;
Valdaone;04022232;Comune;113,389;;83,761;7,516;25,124;15,876;52,414;9,397;1,878;2,728;52,258;17,655;;;
Valfloriana;04022209;Comune;73,143;;39,002;3,939;6,753;7,274;32,741;3,396;1,253;1,091;3,442;;;;
Vallarsa;04022210;Comune;47,502;;62,995;5,440;1,377;8,619;41,534;17,463;0,999;6,620;62,960;;;;
Vallelaghi;04022248;Comune;630,573;;385,521;25,762;133,630;73,580;229,279;38,864;8,482;9,972;205,638;75,795;;;
Varena;04022211;Comune;164,710;;87,829;8,873;15,206;16,381;73,727;7,648;2,819;2,456;7,750;;;;
Vermiglio;04022213;Comune;334,328;;120,761;10,462;70,800;49,511;78,472;19,991;3,364;4,995;118,235;27,690;;;
Vignola-Falesina;04022216;Comune;31,148;;16,395;0,831;4,243;2,904;5,423;1,749;0,651;1,068;8,855;2,400;;;
Vigo di Fassa;04022217;Comune;227,833;;150,406;12,155;50,636;75,925;127,999;11,135;3,842;4,142;;;;;
Villa d\'Anaunia;04022249;Comune;505,222;;314,593;43,272;181,740;79,730;140,959;42,094;13,893;11,203;168,693;72,810;;;
Villa Lagarina;04022222;Comune;411,217;;201,448;13,574;106,251;42,065;116,178;34,615;9,758;6,814;121,070;57,345;;;
Volano;04022224;Comune;407,385;;190,117;14,676;87,031;44,433;129,276;22,981;7,596;6,040;104,320;45,720;;;
Zambana;04022225;Comune;213,378;;130,455;8,718;45,219;24,898;77,586;13,150;2,869;3,374;69,585;25,980;;;
Ziano di Fiemme;04022226;Comune;335,833;;179,076;18,089;31,005;33,399;150,325;15,593;5,751;5,008;15,802;;;;


			



