Comune,Istat,Waste type,Quantity
Denno,4022074,Frazione organica (t),"133,104"
Dimaro Folgarida,4022233,Frazione organica (t),"534,708"
Drena,4022078,Frazione organica (t),"50,538"
Dro,4022079,Frazione organica (t),"505,762"
Faedo,4022080,Frazione organica (t),"65,174"
Fai della Paganella,4022081,Frazione organica (t),"187,408"
Fiave,4022083,Frazione organica (t),"116,361"
Fierozzo,4022085,Frazione organica (t),"112,680"
Folgaria,4022087,Frazione organica (t),"596,280"
Fondo,4022088,Frazione organica (t),"176,446"
Fornace,4022089,Frazione organica (t),"129,887"
Frassilongo,4022090,Frazione organica (t),"112,540"
Garniga Terme,4022091,Frazione organica (t),"53,089"
Giovo,4022092,Frazione organica (t),"240,503"
Giustino,4022093,Frazione organica (t),"115,182"
Grigno,4022095,Frazione organica (t),"159,059"
Imer,4022097,Frazione organica (t),"141,096"
Isera,4022098,Frazione organica (t),"317,082"
Lavarone,4022102,Frazione organica (t),"184,355"
Lavis,4022103,Frazione organica (t),"1.106,261"
Ledro,4022229,Frazione organica (t),"457,750"
Levico Terme,4022104,Frazione organica (t),"1.062,846"
Livo,4022106,Frazione organica (t),"87,198"
Lona-Lases,4022108,Frazione organica (t),"109,372"
Luserna,4022109,Frazione organica (t),"38,608"
Madruzzo,4022243,Frazione organica (t),"359,823"
Male,4022110,Frazione organica (t),"251,751"
Malosco,4022111,Frazione organica (t),"66,603"
Massimeno,4022112,Frazione organica (t),"13,660"
Mazzin,4022113,Frazione organica (t),"98,059"
Mezzana,4022114,Frazione organica (t),"352,841"
Mezzano,4022115,Frazione organica (t),"198,685"
Mezzocorona,4022116,Frazione organica (t),"682,533"
Mezzolombardo,4022117,Frazione organica (t),"874,120"
Moena,4022118,Frazione organica (t),"655,702"
Molveno,4022120,Frazione organica (t),"307,226"
Mori,4022123,Frazione organica (t),"1.049,062"
Nago-Torbole,4022124,Frazione organica (t),"741,990"
Nave San Rocco,4022126,Frazione organica (t),"171,186"
Nogaredo,4022127,Frazione organica (t),"226,427"
Nomi,4022128,Frazione organica (t),"145,501"
Novaledo,4022129,Frazione organica (t),"78,920"
Ospedaletto,4022130,Frazione organica (t),"58,545"
Ossana,4022131,Frazione organica (t),"174,593"
Palu del Fersina,4022133,Frazione organica (t),"23,344"
Panchia ,4022134,Frazione organica (t),"158,204"
Peio,4022136,Frazione organica (t),"245,161"
Pellizzano,4022137,Frazione organica (t),"144,820"
Pelugo,4022138,Frazione organica (t),"42,653"
Pergine Valsugana,4022139,Frazione organica (t),"4.582,729"
Pieve Di Bono-Prezzo,4022234,Frazione organica (t),"145,845"
Pieve Tesino,4022142,Frazione organica (t),"60,266"
Pinzolo,4022143,Frazione organica (t),"797,723"
Pomarolo,4022144,Frazione organica (t),"215,167"
Porte Di Rendena,4022244,Frazione organica (t),"186,336"
Pozza di Fassa,4022145,Frazione organica (t),"473,050"
Predaia,4022230,Frazione organica (t),"767,166"
Predazzo,4022147,Frazione organica (t),"922,015"
Primiero San Martino Di Castrozza,4022245,Frazione organica (t),"939,444"
Rabbi,4022150,Frazione organica (t),"134,185"
